"task_id","created_date","status_changed_date","target_date","days_remaining_at_change"
"T131516.49","2020-08-05","2020-08-05","2020-08-09",4
"T131516.48","2020-07-31","2020-07-31","2020-08-04",4
"T131516.47","2020-07-30","2020-09-14","2020-08-03",-42
"T131516.46","2020-07-30","2020-09-14","2020-08-03",-42
"T131516.45","2020-07-30","2020-07-30","2020-08-03",4
"T131516.44","2020-07-30","2020-07-30","2020-08-03",4
"T131516.43","2020-07-30","2020-07-30","2020-08-03",4
"T131516.42","2020-07-30","2020-09-14","2020-08-03",-42
"T131516.41","2020-07-30","2020-07-30","2020-08-03",4
"T131516.40","2020-07-30","2020-07-30","2020-08-03",4
"T114176.117","2020-07-24","2020-07-24","2020-07-28",4
"T92044.310","2020-07-13","2020-07-13","2020-07-17",4
"T92044.309","2020-07-13","2020-07-13","2020-07-17",4
"T1.22901300","2020-07-13","2020-07-13","2020-07-05",-8
"T1.22901299","2020-07-13","2020-07-13","2020-07-17",4
"T1.22901294","2020-07-13","2020-07-13","2020-07-17",4
"T92044.290","2020-06-26","2020-06-26","2020-06-30",4
"T92044.289","2020-06-26","2020-06-26","2020-06-30",4
"T92044.288","2020-06-26","2020-06-26","2020-06-30",4
"T92044.287","2020-06-26","2020-06-26","2020-06-30",4
"T92044.286","2020-06-26","2020-06-26","2020-06-30",4
"T92044.285","2020-06-26","2020-06-26","2020-06-30",4
"T92044.284","2020-06-26","2020-06-26","2020-06-30",4
"T92044.283","2020-06-26","2020-06-26","2020-06-30",4
"T92044.282","2020-06-26","2020-06-26","2020-06-30",4
"T92044.281","2020-06-26","2020-06-26","2020-06-30",4
"T92044.280","2020-06-26","2020-06-26","2020-06-30",4
"T92044.279","2020-06-26","2020-06-26","2020-06-30",4
"T92044.278","2020-06-26","2020-06-26","2020-06-30",4
"T92044.277","2020-06-26","2020-06-26","2020-06-30",4
"T92044.276","2020-06-26","2020-06-26","2020-06-30",4
"T92044.275","2020-06-26","2020-06-26","2020-06-30",4
"T132578.137","2020-08-06","2020-08-06","2020-08-12",6
"T86424.529","2020-06-24","2020-06-24","2020-06-28",4
"T86424.528","2020-06-24","2020-06-24","2020-06-28",4
"T132578.136","2020-08-06","2020-08-06","2020-08-12",6
"T92044.270","2020-06-11","2020-06-11","2020-06-15",4
"T92044.269","2020-06-08","2020-06-09","2020-06-12",3
"T92044.268","2020-06-08","2020-06-08","2020-06-12",4
"T92044.267","2020-06-08","2020-06-09","2020-06-12",3
"T92044.266","2020-06-08","2020-06-08","2020-06-12",4
"T92044.265","2020-06-03","2020-06-09","2020-06-07",-2
"T92044.263","2020-05-28","2020-06-04","2020-06-01",-3
"T92044.262","2020-05-28","2020-06-09","2020-06-01",-8
"T92044.261","2020-05-27","2020-05-27","2020-05-31",4
"T92044.260","2020-05-26","2020-05-26","2020-05-30",4
"T92044.259","2020-05-26","2020-05-26","2020-05-30",4
"T92044.258","2020-05-26","2020-05-26","2020-05-30",4
"T124251.105","2020-05-22","2020-05-22","2020-05-26",4
"T92044.255","2020-05-19","2020-05-19","2020-05-23",4
"T92044.254","2020-05-19","2020-05-19","2020-05-23",4
"T92044.253","2020-05-14","2020-05-14","2020-05-18",4
"T124251.100","2020-05-13","2020-05-13","2020-05-17",4
"T124251.92","2020-05-11","2020-05-21","2020-05-15",-6
"T124251.87","2020-05-11","2020-05-11","2020-05-15",4
"T124251.86","2020-05-11","2020-05-11","2020-05-15",4
"T124251.85","2020-05-11","2020-05-11","2020-05-15",4
"T124251.84","2020-05-11","2020-05-11","2020-05-15",4
"T124251.82","2020-05-11","2020-05-11","2020-05-15",4
"T124251.80","2020-05-11","2020-05-11","2020-05-15",4
"T109023.119","2020-05-11","2020-05-11","2020-05-15",4
"T109023.118","2020-05-11","2020-05-11","2020-05-15",4
"T109023.117","2020-05-11","2020-05-11","2020-05-15",4
"T109023.116","2020-05-11","2020-05-11","2020-05-15",4
"T109023.115","2020-05-11","2020-05-11","2020-05-15",4
"T109023.114","2020-05-11","2020-05-11","2020-05-15",4
"T109023.113","2020-05-11","2020-05-11","2020-05-15",4
"T109023.112","2020-05-11","2020-05-11","2020-05-15",4
"T109023.111","2020-05-11","2020-05-11","2020-05-15",4
"T109023.110","2020-05-11","2020-05-11","2020-05-15",4
"T109023.109","2020-05-11","2020-05-11","2020-05-15",4
"T109023.108","2020-05-11","2020-05-11","2020-05-15",4
"T109023.107","2020-05-11","2020-05-11","2020-05-15",4
"T109023.106","2020-05-11","2020-05-11","2020-05-15",4
"T109023.105","2020-05-11","2020-05-11","2020-05-15",4
"T109023.104","2020-05-11","2020-05-11","2020-05-15",4
"T109023.103","2020-05-11","2020-05-11","2020-05-15",4
"T109023.102","2020-05-11","2020-05-11","2020-05-15",4
"T109023.101","2020-05-11","2020-05-11","2020-05-15",4
"T109023.100","2020-05-11","2020-05-11","2020-05-15",4
"T86424.407","2020-05-08","2020-06-30","2020-05-12",-49
"T124251.75","2020-05-07","2020-05-21","2020-05-11",-10
"T124251.74","2020-05-07","2020-05-07","2020-05-11",4
"T124251.72","2020-05-07","2020-05-07","2020-05-11",4
"T124251.71","2020-05-07","2020-05-07","2020-05-11",4
"T86424.405","2020-05-07","2020-07-07","2020-05-11",-57
"T124251.63","2020-05-05","2020-05-05","2020-05-09",4
"T124251.62","2020-05-05","2020-05-05","2020-05-09",4
"T124251.60","2020-05-05","2020-05-05","2020-05-09",4
"T124251.59","2020-05-05","2020-05-05","2020-05-09",4
"T124251.58","2020-05-05","2020-05-05","2020-05-09",4
"T124251.57","2020-05-05","2020-05-05","2020-05-09",4
"T124251.55","2020-05-05","2020-05-05","2020-05-09",4
"T124251.52","2020-05-05","2020-05-05","2020-05-09",4
"T92044.248","2020-05-01","2020-05-01","2020-05-05",4
"T86424.393","2020-05-01","2020-05-08","2020-05-05",-3
"T92044.222","2020-05-01","2020-05-01","2020-05-05",4
"T92044.219","2020-05-01","2020-05-01","2020-05-05",4
"T92044.214","2020-05-01","2020-05-01","2020-05-05",4
"T124251.46","2020-04-30","2020-04-30","2020-05-04",4
"T124251.45","2020-04-30","2020-04-30","2020-05-04",4
"T124251.37","2020-04-27","2020-04-27","2020-05-01",4
"T124251.21","2020-04-27","2020-06-24","2020-05-01",-54
"T92044.209","2020-04-22","2020-06-09","2020-04-26",-44
"T92044.197","2020-04-21","2020-04-21","2020-04-30",9
"T92044.194","2020-04-21","2020-04-21","2020-04-25",4
"T92044.193","2020-04-21","2020-04-21","2020-04-25",4
"T92044.192","2020-04-21","2020-04-21","2020-04-30",9
"T92044.189","2020-04-21","2020-04-21","2020-04-25",4
"T92044.187","2020-04-21","2020-04-21","2020-04-25",4
"T92044.186","2020-04-21","2020-06-04","2020-04-25",-40
"T92044.184","2020-04-17","2020-04-17","2020-04-21",4
"T92044.183","2020-04-17","2020-06-09","2020-04-21",-49
"T92044.156","2020-04-10","2020-04-10","2020-04-14",4
"T92044.155","2020-04-09","2020-04-09","2020-04-13",4
"T92044.147","2020-04-03","2020-04-03","2020-04-07",4
"T92044.148","2020-04-03","2020-04-03","2020-04-07",4
"T92044.146","2020-04-03","2020-06-09","2020-04-07",-63
"T92044.145","2020-04-03","2020-06-09","2020-04-09",-61
"T92044.144","2020-04-03","2020-06-09","2020-04-07",-63
"T92044.143","2020-04-03","2020-06-09","2020-04-09",-61
"T92044.141","2020-04-03","2020-06-09","2020-04-07",-63
"T92044.140","2020-04-03","2020-06-09","2020-04-09",-61
"T92044.138","2020-04-03","2020-06-09","2020-04-09",-61
"T92044.137","2020-04-03","2020-06-09","2020-04-09",-61
"T92044.135","2020-03-27","2020-03-27","2020-04-09",13
"T92044.134","2020-03-27","2020-03-27","2020-04-09",13
"T92044.128","2020-03-23","2020-03-23","2020-04-05",13
"T92044.127","2020-03-23","2020-03-23","2020-03-28",5
"T92044.126","2020-03-23","2020-03-23","2020-03-28",5
"T86424.319","2020-03-20","2020-04-23","2020-05-07",14
"T86424.318","2020-03-20","2020-04-23","2020-04-07",-16
"T86424.317","2020-03-20","2020-04-17","2020-04-07",-10
"T86424.316","2020-03-20","2020-04-14","2020-04-08",-6
"T86424.315","2020-03-20","2020-04-15","2020-04-03",-12
"T86424.314","2020-03-20","2020-04-15","2020-04-03",-12
"T86424.313","2020-03-20","2020-04-30","2020-03-25",-36
"T86424.312","2020-03-20","2020-05-01","2020-04-02",-29
"T86424.311","2020-03-20","2020-05-01","2020-03-25",-37
"T86424.310","2020-03-20","2020-04-28","2020-04-03",-25
